tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
59.00;E2D2_0;85.60;13.64;0.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.0 emissions_flow_0.0;59.00;flow_0.0;0;675.81;1.06;0.00;9.71;car;;0;0.00;172724.53;1854.83;12.38;68.63;2.90;0.00;55107.47
77.00;C0B0_0;85.60;9.62;0.00;0.00;A2A3_0;7.60;0.00;tripinfo_flow_1.0 emissions_flow_1.0;77.00;flow_1.0;0;661.89;0.94;0.00;9.38;bus;;0;0.00;158578.22;2226.91;13.94;63.64;2.83;0.00;50592.66
560.00;E2D2_0;85.60;13.78;500.00;0.58;A4B4_0;4.60;0.00;tripinfo_flow_0.1 emissions_flow_0.1;60.00;flow_0.1;0;675.81;1.01;0.00;10.38;car;;0;0.00;174620.26;1903.66;12.81;70.23;3.02;0.00;55711.93
1058.00;E2D2_0;85.60;13.49;999.00;0.16;A4B4_0;4.60;0.00;tripinfo_flow_0.2 emissions_flow_0.2;59.00;flow_0.2;0;675.81;1.08;0.00;9.77;car;;0;0.00;170620.52;1826.64;12.36;68.77;2.94;0.00;54435.85
1560.00;E2D2_0;85.60;13.67;1499.00;0.74;A4B4_0;4.60;0.00;tripinfo_flow_0.3 emissions_flow_0.3;61.00;flow_0.3;0;675.81;1.03;0.00;10.51;car;;0;0.00;178136.53;1893.84;12.89;71.02;2.98;0.00;56834.01
2069.00;E2D2_0;85.60;10.40;1998.00;0.32;A4B4_0;4.60;0.00;tripinfo_flow_0.4 emissions_flow_0.4;71.00;flow_0.4;0;675.81;0.83;0.00;11.02;car;;0;0.00;156768.11;1930.30;12.55;61.96;2.62;0.00;50015.96
2558.00;E2D2_0;85.60;13.36;2498.00;0.90;A4B4_0;4.60;0.00;tripinfo_flow_0.5 emissions_flow_0.5;60.00;flow_0.5;0;675.81;1.05;0.00;10.89;car;;0;0.00;170503.68;1881.64;12.67;68.71;2.94;0.00;54398.42
3064.00;E2D2_0;85.60;11.47;2997.00;0.48;A4B4_0;4.60;0.00;tripinfo_flow_0.6 emissions_flow_0.6;67.00;flow_0.6;0;675.81;0.89;0.00;11.04;car;;0;0.00;161136.63;1904.53;12.55;63.69;2.68;0.00;51409.90
3279.00;C0B0_0;85.60;9.93;3200.00;0.00;A2A3_0;7.60;0.00;tripinfo_flow_1.1 emissions_flow_1.1;79.00;flow_1.1;0;661.89;0.94;0.00;10.49;bus;;0;0.00;163779.68;2307.70;14.40;64.89;2.84;0.00;52252.34
3564.00;E2D2_0;85.60;11.48;3496.00;0.06;A4B4_0;4.60;0.00;tripinfo_flow_0.7 emissions_flow_0.7;68.00;flow_0.7;0;675.81;0.86;0.00;9.73;car;;0;0.00;168271.46;1951.11;12.92;66.27;2.75;0.00;53686.33
