tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
59.00;E2D2_0;85.60;13.64;0.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.0 emissions_flow_0.0;59.00;flow_0.0;0;675.81;1.06;0.00;9.71;car;;0;0.00;172724.53;1854.83;12.38;68.63;2.90;0.00;55107.47
77.00;C0B0_0;85.60;9.62;0.00;0.00;A2A3_0;7.60;0.00;tripinfo_flow_1.0 emissions_flow_1.0;77.00;flow_1.0;0;661.89;0.94;0.00;9.38;bus;;0;0.00;158578.22;2226.91;13.94;63.64;2.83;0.00;50592.66
865.00;C0B0_0;85.60;9.93;786.00;0.55;A2A3_0;7.60;0.00;tripinfo_flow_1.1 emissions_flow_1.1;79.00;flow_1.1;0;661.89;1.01;0.00;10.46;bus;;0;0.00;164517.04;2293.87;14.34;64.95;2.81;0.00;52487.69
1019.00;E2D2_0;85.60;13.78;960.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.1 emissions_flow_0.1;59.00;flow_0.1;0;675.81;1.08;0.00;9.80;car;;0;0.00;172774.93;1826.08;12.44;69.25;2.94;0.00;55123.34
1649.00;C0B0_0;85.60;9.09;1571.00;0.10;A2A3_0;7.60;0.00;tripinfo_flow_1.2 emissions_flow_1.2;78.00;flow_1.2;0;661.89;1.03;0.00;9.75;bus;;0;0.00;158778.25;2183.90;13.72;62.91;2.73;0.00;50656.77
1990.00;E2D2_0;85.60;10.42;1920.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.2 emissions_flow_0.2;70.00;flow_0.2;0;675.81;0.83;0.00;9.79;car;;0;0.00;159744.33;1912.66;12.58;63.75;2.71;0.00;50965.42
2435.00;C0B0_0;85.60;8.75;2357.00;0.65;A2A3_0;7.60;0.00;tripinfo_flow_1.3 emissions_flow_1.3;78.00;flow_1.3;0;661.89;1.05;0.00;9.69;bus;;0;0.00;164874.32;2292.57;14.34;64.87;2.79;0.00;52601.74
2946.00;E2D2_0;85.60;11.27;2880.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.3 emissions_flow_0.3;66.00;flow_0.3;0;675.81;0.89;0.00;10.05;car;;0;0.00;163994.06;1900.28;12.63;64.99;2.72;0.00;52321.55
3220.00;C0B0_0;85.60;9.78;3142.00;0.20;A2A3_0;7.60;0.00;tripinfo_flow_1.4 emissions_flow_1.4;78.00;flow_1.4;0;661.89;0.94;0.00;9.61;bus;;0;0.00;174279.83;2436.09;15.21;68.57;2.96;0.00;55602.48
3909.00;E2D2_0;85.60;11.28;3840.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.4 emissions_flow_0.4;69.00;flow_0.4;0;675.81;0.86;0.00;10.59;car;;0;0.00;163743.70;1938.21;12.80;65.02;2.74;0.00;52241.54
