tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
79985.00;C0B0_0;85.60;9.59;79904.00;0.74;A2A3_0;7.60;0.00;tripinfo_flow_1.123 emissions_flow_1.123;81.00;flow_1.123;0;661.89;0.92;0.00;12.10;bus;;0;0.00;169322.61;2461.16;15.20;66.68;2.92;0.00;54020.75
80012.00;E2D2_0;85.60;12.85;79953.00;0.90;A4B4_0;4.60;0.00;tripinfo_flow_0.62 emissions_flow_0.62;59.00;flow_0.62;0;675.81;1.08;0.00;9.89;car;;0;0.00;164924.80;1767.48;11.93;65.65;2.77;0.00;52618.88
80631.00;C0B0_0;85.60;9.37;80553.00;0.12;A2A3_0;7.60;0.00;tripinfo_flow_1.124 emissions_flow_1.124;78.00;flow_1.124;0;661.89;0.89;0.00;9.92;bus;;0;0.00;174871.86;2498.74;15.54;69.71;3.09;0.00;55791.04
81281.00;C0B0_0;85.60;9.29;81203.00;0.50;A2A3_0;7.60;0.00;tripinfo_flow_1.125 emissions_flow_1.125;78.00;flow_1.125;0;661.89;0.97;0.00;10.10;bus;;0;0.00;167570.72;2289.09;14.39;65.80;2.81;0.00;53462.10
81304.00;E2D2_0;85.60;12.76;81242.00;0.35;A4B4_0;4.60;0.00;tripinfo_flow_0.63 emissions_flow_0.63;62.00;flow_0.63;0;675.81;0.97;0.00;9.33;car;;0;0.00;168121.80;1797.78;12.02;66.63;2.79;0.00;53638.97
81934.00;C0B0_0;85.60;9.04;81853.00;0.88;A2A3_0;7.60;0.00;tripinfo_flow_1.126 emissions_flow_1.126;81.00;flow_1.126;0;661.89;0.90;0.00;12.15;bus;;0;0.00;175831.40;2490.12;15.48;68.91;2.97;0.00;56097.50
82580.00;C0B0_0;85.60;8.73;82502.00;0.26;A2A3_0;7.60;0.00;tripinfo_flow_1.127 emissions_flow_1.127;78.00;flow_1.127;0;661.89;0.93;0.00;9.69;bus;;0;0.00;157498.71;2204.51;13.79;62.63;2.74;0.00;50248.42
82591.00;E2D2_0;85.60;13.10;82532.00;0.80;A4B4_0;4.60;0.00;tripinfo_flow_0.64 emissions_flow_0.64;59.00;flow_0.64;0;675.81;1.10;0.00;9.85;car;;0;0.00;166026.49;1758.72;11.99;66.66;2.83;0.00;52970.22
83229.00;C0B0_0;85.60;9.25;83152.00;0.64;A2A3_0;7.60;0.00;tripinfo_flow_1.128 emissions_flow_1.128;77.00;flow_1.128;0;661.89;1.07;0.00;9.26;bus;;0;0.00;162353.68;2151.63;13.62;63.22;2.63;0.00;51797.89
83878.00;C0B0_0;85.60;9.98;83801.00;0.02;A2A3_0;7.60;0.00;tripinfo_flow_1.129 emissions_flow_1.129;77.00;flow_1.129;0;661.89;1.00;0.00;9.57;bus;;0;0.00;168208.57;2371.82;14.79;66.47;2.90;0.00;53665.39
83890.00;E2D2_0;85.60;11.54;83821.00;0.25;A4B4_0;4.60;0.00;tripinfo_flow_0.65 emissions_flow_0.65;69.00;flow_0.65;0;675.81;0.84;0.00;9.40;car;;0;0.00;158928.61;1875.00;12.38;62.77;2.62;0.00;50705.41
84528.00;C0B0_0;85.60;9.22;84451.00;0.40;A2A3_0;7.60;0.00;tripinfo_flow_1.130 emissions_flow_1.130;77.00;flow_1.130;0;661.89;1.03;0.00;9.15;bus;;0;0.00;158931.83;2227.03;13.93;63.31;2.78;0.00;50705.61
85170.00;E2D2_0;85.60;13.90;85111.00;0.70;A4B4_0;4.60;0.00;tripinfo_flow_0.66 emissions_flow_0.66;59.00;flow_0.66;0;675.81;1.06;0.00;8.99;car;;0;0.00;166103.17;1692.20;11.60;65.70;2.71;0.00;52995.11
85180.00;C0B0_0;85.60;9.48;85101.00;0.78;A2A3_0;7.60;0.00;tripinfo_flow_1.131 emissions_flow_1.131;79.00;flow_1.131;0;661.89;0.87;0.00;10.41;bus;;0;0.00;167504.02;2423.17;14.99;66.04;2.89;0.00;53440.55
85831.00;C0B0_0;85.60;9.58;85750.00;0.16;A2A3_0;7.60;0.00;tripinfo_flow_1.132 emissions_flow_1.132;81.00;flow_1.132;0;661.89;0.83;0.00;12.32;bus;;0;0.00;175965.63;2602.69;16.00;69.41;3.07;0.00;56140.06
86462.00;E2D2_0;85.60;12.30;86400.00;0.15;A4B4_0;4.60;0.00;tripinfo_flow_0.67 emissions_flow_0.67;62.00;flow_0.67;0;675.81;0.95;0.00;9.14;car;;0;0.00;170183.64;1845.58;12.53;68.37;2.89;0.00;54296.36
86480.00;C0B0_0;85.60;9.29;86400.00;0.54;A2A3_0;7.60;0.00;tripinfo_flow_1.133 emissions_flow_1.133;80.00;flow_1.133;0;661.89;0.87;0.00;11.00;bus;;0;0.00;173665.38;2509.30;15.53;68.71;3.02;0.00;55406.21
