tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
86.00;E2J1_0;100.00;13.39;0.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.0 emissions_flow_0.0;86.00;flow_0.0;0;632.42;1.06;0.00;38.91;car;;1;23.00;242224.952847;5114.243572;28.915085;99.905087;5.621984;0;77276.694761
162.00;E2J1_0;100.00;9.37;0.00;0.00;A2A1_0;10.10;0.00;tripinfo_flow_1.0 emissions_flow_1.0;162.00;flow_1.0;0;632.08;0.94;60.00;37.96;bus;;1;8.00;386936.728716;12041.071591;63.508907;159.542592;10.745306;0;123438.086602
355.00;E2J1_0;100.00;13.60;259.00;0.32;A2A3_0;4.60;0.00;tripinfo_flow_0.1 emissions_flow_0.1;96.00;flow_0.1;0;632.42;1.01;0.00;49.78;car;;1;33.00;280132.831670;6473.588209;36.017706;115.490991;6.770873;0;89369.626992
625.00;E2J1_0;100.00;12.87;518.00;0.64;A2A3_0;4.60;0.00;tripinfo_flow_0.2 emissions_flow_0.2;107.00;flow_0.2;0;632.42;1.08;0.00;61.05;car;;1;46.00;299085.052370;7759.572851;42.135214;123.722388;7.694908;0;95414.638393
896.00;E2J1_0;100.00;13.79;777.00;0.96;A2A3_0;4.60;0.00;tripinfo_flow_0.3 emissions_flow_0.3;119.00;flow_0.3;0;632.42;1.03;0.00;71.91;car;;1;56.00;324799.969778;8760.936705;47.299004;133.786992;8.469868;0;103617.952205
1103.00;E2J1_0;100.00;11.22;1035.00;0.28;A2A3_0;4.60;0.00;tripinfo_flow_0.4 emissions_flow_0.4;68.00;flow_0.4;0;632.42;0.83;0.00;12.00;car;;0;0.00;162937.586555;2013.252201;13.077473;64.121937;2.691139;0;51984.359202
1351.00;E2J1_0;100.00;13.77;1294.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.5 emissions_flow_0.5;57.00;flow_0.5;0;632.42;1.05;0.00;11.04;car;;0;0.00;173794.133111;2012.490487;13.369712;70.912437;3.145307;0;55447.856534
1617.00;E2J1_0;100.00;11.58;1553.00;0.92;A2A3_0;4.60;0.00;tripinfo_flow_0.6 emissions_flow_0.6;64.00;flow_0.6;0;632.42;0.89;0.00;11.11;car;;0;0.00;172352.188144;2105.315462;13.774885;69.392080;3.020623;0;54987.692093
1887.00;E2J1_0;100.00;11.85;1811.00;0.24;A2A3_0;4.60;0.00;tripinfo_flow_0.7 emissions_flow_0.7;76.00;flow_0.7;0;632.42;0.94;0.00;26.61;car;;1;9.00;212189.547752;3726.612551;21.900620;86.371055;4.422364;0;67695.832357
2159.00;E2J1_0;100.00;10.87;2070.00;0.56;A2A3_0;4.60;0.00;tripinfo_flow_0.8 emissions_flow_0.8;89.00;flow_0.8;0;632.42;0.86;0.00;35.04;car;;1;20.00;222014.076402;4565.354823;25.990488;89.889005;4.860598;0;70829.268726
2426.00;E2J1_0;100.00;12.82;2329.00;0.88;A2A3_0;4.60;0.00;tripinfo_flow_0.9 emissions_flow_0.9;97.00;flow_0.9;0;632.42;1.09;0.00;50.93;car;;1;33.00;273615.654592;6261.999845;34.755279;111.895622;6.496300;0;87290.869795
2696.00;E2J1_0;100.00;13.10;2587.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.10 emissions_flow_0.10;109.00;flow_0.10;0;632.42;1.03;0.00;61.89;car;;1;46.00;295134.972299;7593.266038;41.260283;121.367590;7.512752;0;94154.803458
2966.00;E2J1_0;100.00;13.37;2846.00;0.52;A2A3_0;4.60;0.00;tripinfo_flow_0.11 emissions_flow_0.11;120.00;flow_0.11;0;632.42;1.05;0.00;73.91;car;;1;57.00;326964.411110;8990.317999;48.284269;134.917853;8.634857;0;104308.148644
3162.00;E2J1_0;100.00;12.67;3105.00;0.84;A2A3_0;4.60;0.00;tripinfo_flow_0.12 emissions_flow_0.12;57.00;flow_0.12;0;632.42;1.12;0.00;10.37;car;;0;0.00;168883.920715;1896.587971;12.789377;68.820579;3.011691;0;53881.356216
3422.00;E2J1_0;100.00;13.45;3363.00;0.16;A2A3_0;4.60;0.00;tripinfo_flow_0.13 emissions_flow_0.13;59.00;flow_0.13;0;632.42;0.99;0.00;11.79;car;;0;0.00;176209.588020;2068.305545;13.694175;71.661055;3.173584;0;56218.474799
3688.00;E2J1_0;100.00;11.94;3622.00;0.48;A2A3_0;4.60;0.00;tripinfo_flow_0.14 emissions_flow_0.14;66.00;flow_0.14;0;632.42;0.93;0.00;15.59;car;;0;0.00;185941.254046;2422.360130;15.502517;75.438450;3.395865;0;59322.852232
3959.00;E2J1_0;100.00;11.07;3881.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.15 emissions_flow_0.15;78.00;flow_0.15;0;632.42;0.88;0.00;25.34;car;;1;9.00;198037.928417;3482.559114;20.597640;80.966276;4.116650;0;63180.708887
4227.00;E2J1_0;100.00;12.63;4139.00;0.12;A2A3_0;4.60;0.00;tripinfo_flow_0.16 emissions_flow_0.16;88.00;flow_0.16;0;632.42;0.94;0.00;37.98;car;;1;22.00;239375.368300;4951.746780;28.173152;98.293408;5.428325;0;76367.752381
4497.00;E2J1_0;100.00;12.61;4398.00;0.44;A2A3_0;4.60;0.00;tripinfo_flow_0.17 emissions_flow_0.17;99.00;flow_0.17;0;632.42;0.94;0.00;49.13;car;;1;33.00;264806.771546;6255.801683;34.611029;109.283164;6.457892;0;84479.901903
4766.00;E2J1_0;100.00;12.93;4657.00;0.76;A2A3_0;4.60;0.00;tripinfo_flow_0.18 emissions_flow_0.18;109.00;flow_0.18;0;632.42;1.16;0.00;62.68;car;;1;46.00;301374.839714;7795.594420;42.414029;124.884762;7.767701;0;96145.066573
5036.00;E2J1_0;100.00;13.01;4915.00;0.08;A2A3_0;4.60;0.00;tripinfo_flow_0.19 emissions_flow_0.19;121.00;flow_0.19;0;632.42;1.02;0.00;74.84;car;;1;59.00;333554.840818;9107.559685;48.954249;136.952256;8.726720;0;106410.950812
