tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
27190.00;E2J1_0;100.00;12.67;27132.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.293 emissions_flow_0.293;58.00;flow_0.293;0;632.42;0.98;0.00;10.46;car;;0;0.00;181333.571738;1979.958357;13.306750;72.437632;3.073867;0;57853.867633
27284.00;E2J1_0;100.00;13.08;27225.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.294 emissions_flow_0.294;59.00;flow_0.294;0;632.42;0.98;0.00;11.33;car;;0;0.00;175216.901242;1994.672403;13.292894;70.832334;3.067855;0;55901.973160
27373.00;E2J1_0;100.00;13.62;27317.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.295 emissions_flow_0.295;56.00;flow_0.295;0;632.42;1.16;0.00;10.41;car;;0;0.00;165426.485702;1892.343741;12.687321;67.757467;3.011384;0;52778.156879
27467.00;E2J1_0;100.00;12.70;27410.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.296 emissions_flow_0.296;57.00;flow_0.296;0;632.42;1.07;0.00;10.72;car;;0;0.00;165664.249098;1913.520098;12.650665;66.884897;2.914372;0;52854.269611
27627.00;E2J1_0;100.00;12.32;27503.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.297 emissions_flow_0.297;124.00;flow_0.297;0;632.42;0.94;0.00;74.11;car;;1;57.00;322409.782379;9018.689404;48.374075;132.659329;8.530670;0;102854.911142
27716.00;E2J1_0;100.00;12.67;27595.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.298 emissions_flow_0.298;121.00;flow_0.298;0;632.42;0.98;0.00;73.56;car;;1;55.00;321366.309126;9027.313165;48.445091;133.486005;8.641206;0;102521.612753
27806.00;E2J1_0;100.00;13.16;27688.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.299 emissions_flow_0.299;118.00;flow_0.299;0;632.42;1.04;0.00;71.02;car;;1;55.00;321794.026162;8697.479081;46.970100;132.708679;8.412635;0;102658.874503
27896.00;E2J1_0;100.00;13.03;27780.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.300 emissions_flow_0.300;116.00;flow_0.300;0;632.42;0.98;0.00;68.82;car;;1;52.00;313989.538941;8532.124945;46.098739;130.302990;8.304245;0;100168.751516
27987.00;E2J1_0;100.00;12.67;27873.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.301 emissions_flow_0.301;114.00;flow_0.301;0;632.42;0.96;0.00;64.85;car;;1;48.00;308292.422989;8058.758401;43.625706;125.650059;7.759415;0;98352.376043
28075.00;E2J1_0;100.00;13.16;27966.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.302 emissions_flow_0.302;109.00;flow_0.302;0;632.42;1.06;0.00;62.71;car;;1;47.00;305661.401026;7812.802313;42.500880;125.442281;7.720821;0;97513.099073
28166.00;E2J1_0;100.00;13.38;28058.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.303 emissions_flow_0.303;108.00;flow_0.303;0;632.42;0.99;0.00;61.28;car;;1;44.00;297276.406152;7448.867424;40.735740;121.937921;7.415404;0;94838.260461
28256.00;E2J1_0;100.00;12.81;28151.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.304 emissions_flow_0.304;105.00;flow_0.304;0;632.42;0.99;0.00;57.62;car;;1;41.00;283999.422789;6988.571562;38.272450;116.527251;7.031509;0;90602.766500
28346.00;E2J1_0;100.00;13.09;28243.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.305 emissions_flow_0.305;103.00;flow_0.305;0;632.42;1.05;0.00;56.54;car;;1;41.00;286563.714626;7066.354520;38.734160;118.496888;7.203844;0;91420.598375
28438.00;E2J1_0;100.00;12.30;28336.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.306 emissions_flow_0.306;102.00;flow_0.306;0;632.42;0.90;0.00;50.47;car;;1;33.00;271525.848482;6452.127391;35.656805;110.921554;6.506106;0;86623.671422
28526.00;E2J1_0;100.00;13.78;28429.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.307 emissions_flow_0.307;97.00;flow_0.307;0;632.42;1.09;0.00;50.77;car;;1;35.00;277955.472917;6474.278651;36.040478;115.631196;6.835337;0;88674.581062
28615.00;E2J1_0;100.00;13.04;28521.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.308 emissions_flow_0.308;94.00;flow_0.308;0;632.42;1.11;0.00;48.25;car;;1;34.00;274747.157123;6297.556470;34.956398;113.138992;6.621353;0;87651.662331
28706.00;E2J1_0;100.00;13.51;28614.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.309 emissions_flow_0.309;92.00;flow_0.309;0;632.42;1.07;0.00;45.94;car;;1;30.00;268853.290072;5794.512137;32.555466;109.698706;6.199289;0;85772.137774
28796.00;E2J1_0;100.00;12.90;28706.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.310 emissions_flow_0.310;90.00;flow_0.310;0;632.42;1.21;0.00;43.59;car;;1;26.00;265482.431996;5648.780145;31.950163;109.378604;6.159935;0;84696.448132
28885.00;E2J1_0;100.00;12.95;28799.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.311 emissions_flow_0.311;86.00;flow_0.311;0;632.42;1.15;0.00;40.44;car;;1;24.00;243550.436778;5180.693097;29.310099;100.900440;5.703204;0;77699.343491
28962.00;E2J1_0;100.00;9.76;28800.00;0.00;A2A1_0;10.10;0.00;tripinfo_flow_1.4 emissions_flow_1.4;162.00;flow_1.4;0;632.08;1.13;60.00;38.23;bus;;4;12.00;373639.616957;11950.731349;62.786837;154.569831;10.605040;0;119195.588874
28976.00;E2J1_0;100.00;12.68;28892.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.312 emissions_flow_0.312;84.00;flow_0.312;0;632.42;0.98;0.00;35.74;car;;1;19.00;237674.279586;4849.482984;27.691753;98.361780;5.447692;0;75824.949573
29066.00;E2J1_0;100.00;13.30;28984.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.313 emissions_flow_0.313;82.00;flow_0.313;0;632.42;1.18;0.00;35.57;car;;1;20.00;238869.782247;4604.861576;26.503884;97.205292;5.196009;0;76207.306044
29156.00;E2J1_0;100.00;12.72;29077.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.314 emissions_flow_0.314;79.00;flow_0.314;0;632.42;1.13;0.00;32.72;car;;1;16.00;232432.973314;4350.144794;25.236206;95.285824;5.052357;0;74153.691949
29246.00;E2J1_0;100.00;13.89;29169.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.315 emissions_flow_0.315;77.00;flow_0.315;0;632.42;1.16;0.00;30.70;car;;1;15.00;231133.695778;4179.544014;24.531906;95.729589;5.042870;0;73739.085387
29338.00;E2J1_0;100.00;11.82;29262.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.316 emissions_flow_0.316;76.00;flow_0.316;0;632.42;0.87;0.00;23.79;car;;1;9.00;203243.375125;3407.889672;20.351590;82.102068;4.051556;0;64841.952324
29429.00;E2J1_0;100.00;11.42;29355.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.317 emissions_flow_0.317;74.00;flow_0.317;0;632.42;0.87;0.00;20.77;car;;1;5.00;195316.205796;3005.019723;18.369299;78.937845;3.755123;0;62313.241143
