tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
86.00;E2J1_0;100.00;13.39;0.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.0 emissions_flow_0.0;86.00;flow_0.0;0;632.42;1.06;0.00;38.91;car;;1;23.00;242224.952847;5114.243572;28.915085;99.905087;5.621984;0;77276.694761
162.00;E2J1_0;100.00;9.37;0.00;0.00;A2A1_0;10.10;0.00;tripinfo_flow_1.0 emissions_flow_1.0;162.00;flow_1.0;0;632.08;0.94;60.00;37.96;bus;;1;8.00;386936.728716;12041.071591;63.508907;159.542592;10.745306;0;123438.086602
446.00;E2J1_0;100.00;13.65;324.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.1 emissions_flow_0.1;122.00;flow_0.1;0;632.42;1.01;0.00;75.27;car;;1;58.00;339726.819778;9337.527742;50.289447;140.173292;8.970697;0;108379.601100
715.00;E2J1_0;100.00;13.62;648.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.2 emissions_flow_0.2;67.00;flow_0.2;0;632.42;1.08;0.00;20.90;car;;1;7.00;208944.927611;3156.739439;19.344504;85.813312;4.182678;0;66661.257266
1075.00;E2J1_0;100.00;13.87;971.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.3 emissions_flow_0.3;104.00;flow_0.3;0;632.42;1.03;0.00;57.68;car;;1;42.00;293324.256486;7246.179112;39.687806;120.267303;7.259700;0;93577.628873
1363.00;E2J1_0;100.00;11.31;1295.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.4 emissions_flow_0.4;68.00;flow_0.4;0;632.42;0.83;0.00;11.78;car;;0;0.00;163057.934953;2011.330104;13.082345;64.428436;2.717882;0;52022.687679
1706.00;E2J1_0;100.00;13.27;1618.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.5 emissions_flow_0.5;88.00;flow_0.5;0;632.42;1.05;0.00;41.84;car;;1;25.00;259293.907991;5440.851183;30.836099;106.987959;6.007400;0;82722.229727
2069.00;E2J1_0;100.00;11.60;1942.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.6 emissions_flow_0.6;127.00;flow_0.6;0;632.42;0.89;0.00;73.96;car;;1;59.00;324739.667352;9166.209123;49.053481;132.809082;8.541558;0;103598.240840
2337.00;E2J1_0;100.00;11.79;2266.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.7 emissions_flow_0.7;71.00;flow_0.7;0;632.42;0.94;0.00;21.47;car;;1;5.00;200290.971181;3161.608104;19.175938;81.996970;4.020524;0;63900.073247
2699.00;E2J1_0;100.00;11.13;2589.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.8 emissions_flow_0.8;110.00;flow_0.8;0;632.42;0.86;0.00;56.20;car;;1;40.00;273850.488601;7001.273612;38.135401;111.185894;6.727361;0;87364.761732
2971.00;E2J1_0;100.00;13.42;2913.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.9 emissions_flow_0.9;58.00;flow_0.9;0;632.42;1.09;0.00;12.01;car;;0;0.00;174366.343762;1941.426158;12.938644;69.963515;2.996038;0;55630.888473
3325.00;E2J1_0;100.00;13.10;3236.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.10 emissions_flow_0.10;89.00;flow_0.10;0;632.42;1.03;0.00;42.67;car;;1;28.00;251736.658215;5522.310807;30.930833;103.453690;5.913509;0;80311.060439
3618.00;E2J1_0;100.00;13.37;3560.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.11 emissions_flow_0.11;58.00;flow_0.11;0;632.42;1.05;0.00;11.46;car;;0;0.00;175007.817671;1987.673448;13.208697;70.886536;3.104489;0;55835.287458
3956.00;E2J1_0;100.00;13.89;3884.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.12 emissions_flow_0.12;72.00;flow_0.12;0;632.42;1.12;0.00;25.47;car;;1;10.00;214822.540231;3577.862462;21.480735;88.747363;4.506472;0;68535.759522
4317.00;E2J1_0;100.00;12.50;4207.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.13 emissions_flow_0.13;110.00;flow_0.13;0;632.42;0.99;0.00;62.79;car;;1;46.00;301653.429151;7764.682095;42.327182;124.796431;7.722448;0;96233.997892
4593.00;E2J1_0;100.00;11.94;4531.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.14 emissions_flow_0.14;62.00;flow_0.14;0;632.42;0.93;0.00;11.42;car;;0;0.00;167655.850631;1978.749373;13.032477;67.144383;2.886766;0;53489.639862
4949.00;E2J1_0;100.00;11.52;4854.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.15 emissions_flow_0.15;95.00;flow_0.15;0;632.42;0.88;0.00;41.93;car;;1;26.00;240051.366424;5406.935143;30.247683;98.544460;5.637013;0;76582.719677
5238.00;E2J1_0;100.00;11.88;5178.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.16 emissions_flow_0.16;60.00;flow_0.16;0;632.42;0.94;0.00;10.80;car;;0;0.00;164462.900836;1914.133913;12.694353;66.311652;2.879406;0;52470.886159
5577.00;E2J1_0;100.00;11.94;5502.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.17 emissions_flow_0.17;75.00;flow_0.17;0;632.42;0.94;0.00;25.50;car;;1;9.00;207032.279039;3487.741141;20.781156;84.545667;4.246751;0;66050.545928
5935.00;E2J1_0;100.00;12.93;5825.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.18 emissions_flow_0.18;110.00;flow_0.18;0;632.42;1.16;0.00;64.40;car;;1;49.00;306108.876979;8039.231782;43.561647;126.049779;7.879106;0;97655.420155
6207.00;E2J1_0;100.00;13.01;6149.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.19 emissions_flow_0.19;58.00;flow_0.19;0;632.42;1.02;0.00;11.60;car;;0;0.00;176218.578593;1992.859979;13.131365;70.542549;3.054920;0;56221.901706
