tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
59.00;E2D2_0;85.60;13.64;0.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.0 emissions_flow_0.0;59.00;flow_0.0;0;675.81;1.06;0.00;9.71;car;;0;0.00;172724.53;1854.83;12.38;68.63;2.90;0.00;55107.47
77.00;C0B0_0;85.60;9.62;0.00;0.00;A2A3_0;7.60;0.00;tripinfo_flow_1.0 emissions_flow_1.0;77.00;flow_1.0;0;661.89;0.94;0.00;9.38;bus;;0;0.00;158578.22;2226.91;13.94;63.64;2.83;0.00;50592.66
636.00;E2D2_0;85.60;13.78;576.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.1 emissions_flow_0.1;60.00;flow_0.1;0;675.81;1.01;0.00;10.38;car;;0;0.00;174620.26;1903.66;12.81;70.23;3.02;0.00;55711.93
1211.00;E2D2_0;85.60;13.49;1152.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.2 emissions_flow_0.2;59.00;flow_0.2;0;675.81;1.08;0.00;9.77;car;;0;0.00;170620.52;1826.64;12.36;68.77;2.94;0.00;54435.85
1789.00;E2D2_0;85.60;13.67;1728.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.3 emissions_flow_0.3;61.00;flow_0.3;0;675.81;1.03;0.00;10.51;car;;0;0.00;178136.53;1893.84;12.89;71.02;2.98;0.00;56834.01
1809.00;C0B0_0;85.60;9.93;1728.00;0.00;A2A3_0;7.60;0.00;tripinfo_flow_1.1 emissions_flow_1.1;81.00;flow_1.1;0;661.89;0.83;0.00;11.65;bus;;0;0.00;164291.62;2335.55;14.55;65.42;2.89;0.00;52415.56
2365.00;E2D2_0;85.60;13.89;2304.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.4 emissions_flow_0.4;61.00;flow_0.4;0;675.81;1.05;0.00;10.41;car;;0;0.00;168570.18;1877.53;12.49;67.46;2.90;0.00;53781.74
2946.00;E2D2_0;85.60;11.77;2880.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.5 emissions_flow_0.5;66.00;flow_0.5;0;675.81;0.89;0.00;9.93;car;;0;0.00;163905.67;1885.43;12.55;64.90;2.71;0.00;52293.39
3520.00;E2D2_0;85.60;12.19;3456.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.6 emissions_flow_0.6;64.00;flow_0.6;0;675.81;0.94;0.00;10.70;car;;0;0.00;167574.28;1877.77;12.57;66.55;2.80;0.00;53463.97
3536.00;C0B0_0;85.60;9.09;3456.00;0.00;A2A3_0;7.60;0.00;tripinfo_flow_1.2 emissions_flow_1.2;80.00;flow_1.2;0;661.89;0.86;0.00;10.61;bus;;0;0.00;165987.97;2371.05;14.73;65.75;2.89;0.00;52956.83
