tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
86.00;E2J1_0;100.00;13.39;0.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.0 emissions_flow_0.0;86.00;flow_0.0;0;632.42;1.06;0.00;38.91;car;;1;23.00;242224.952847;5114.243572;28.915085;99.905087;5.621984;0;77276.694761
162.00;E2J1_0;100.00;9.37;0.00;0.00;A2A1_0;10.10;0.00;tripinfo_flow_1.0 emissions_flow_1.0;162.00;flow_1.0;0;632.08;0.94;60.00;37.96;bus;;1;8.00;386936.728716;12041.071591;63.508907;159.542592;10.745306;0;123438.086602
266.00;E2J1_0;100.00;13.65;193.00;0.14;A2A3_0;4.60;0.00;tripinfo_flow_0.1 emissions_flow_0.1;73.00;flow_0.1;0;632.42;1.01;0.00;26.00;car;;1;9.00;227142.888889;3791.170621;22.716236;93.252751;4.722337;0;72466.569610
444.00;E2J1_0;100.00;13.62;386.00;0.28;A2A3_0;4.60;0.00;tripinfo_flow_0.2 emissions_flow_0.2;58.00;flow_0.2;0;632.42;1.08;0.00;11.52;car;;0;0.00;188132.099258;2162.213917;14.341424;76.562094;3.363499;0;60022.360291
636.00;E2J1_0;100.00;13.81;579.00;0.42;A2A3_0;4.60;0.00;tripinfo_flow_0.3 emissions_flow_0.3;57.00;flow_0.3;0;632.42;1.03;0.00;9.91;car;;0;0.00;174590.230679;1863.725709;12.556902;69.260427;2.896778;0;55702.727063
900.00;E2J1_0;100.00;10.46;772.00;0.56;A2A3_0;4.60;0.00;tripinfo_flow_0.4 emissions_flow_0.4;128.00;flow_0.4;0;632.42;0.83;0.00;71.94;car;;1;55.00;310227.683335;8843.390083;47.294835;126.486078;8.121795;0;98968.532391
1076.00;E2J1_0;100.00;13.61;965.00;0.70;A2A3_0;4.60;0.00;tripinfo_flow_0.5 emissions_flow_0.5;111.00;flow_0.5;0;632.42;1.05;0.00;64.68;car;;1;48.00;306882.629911;7876.005538;42.921853;126.676089;7.831848;0;97902.403695
1258.00;E2J1_0;100.00;11.60;1158.00;0.84;A2A3_0;4.60;0.00;tripinfo_flow_0.6 emissions_flow_0.6;100.00;flow_0.6;0;632.42;0.89;0.00;47.67;car;;1;32.00;254484.722278;6060.286646;33.465003;103.990496;6.106133;0;81187.060199
1437.00;E2J1_0;100.00;11.79;1351.00;0.98;A2A3_0;4.60;0.00;tripinfo_flow_0.7 emissions_flow_0.7;86.00;flow_0.7;0;632.42;0.94;0.00;36.61;car;;1;20.00;232343.495282;4773.297597;27.191598;95.412400;5.252839;0;74124.404418
1619.00;E2J1_0;100.00;11.13;1543.00;0.12;A2A3_0;4.60;0.00;tripinfo_flow_0.8 emissions_flow_0.8;76.00;flow_0.8;0;632.42;0.86;0.00;22.08;car;;1;7.00;193390.530704;3194.788812;19.143043;77.661339;3.766992;0;61698.699580
1794.00;E2J1_0;100.00;13.19;1736.00;0.26;A2A3_0;4.60;0.00;tripinfo_flow_0.9 emissions_flow_0.9;58.00;flow_0.9;0;632.42;1.09;0.00;11.95;car;;0;0.00;175342.887446;1991.581738;13.226867;70.735049;3.089946;0;55942.301278
1986.00;E2J1_0;100.00;13.15;1929.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.10 emissions_flow_0.10;57.00;flow_0.10;0;632.42;1.03;0.00;10.55;car;;0;0.00;163350.649892;1785.845761;11.967328;65.537875;2.801052;0;52116.439734
2180.00;E2J1_0;100.00;13.36;2122.00;0.54;A2A3_0;4.60;0.00;tripinfo_flow_0.11 emissions_flow_0.11;58.00;flow_0.11;0;632.42;1.05;0.00;11.61;car;;0;0.00;170339.210358;1892.733541;12.639726;68.375399;2.933715;0;54346.031766
2426.00;E2J1_0;100.00;13.75;2315.00;0.68;A2A3_0;4.60;0.00;tripinfo_flow_0.12 emissions_flow_0.12;111.00;flow_0.12;0;632.42;1.12;0.00;64.17;car;;1;48.00;309736.546952;7994.301416;43.581008;128.425968;7.976079;0;98812.617673
2606.00;E2J1_0;100.00;13.45;2508.00;0.82;A2A3_0;4.60;0.00;tripinfo_flow_0.13 emissions_flow_0.13;98.00;flow_0.13;0;632.42;0.99;0.00;51.25;car;;1;34.00;275422.908238;6435.011783;35.568112;112.812758;6.620764;0;87867.170279
2788.00;E2J1_0;100.00;11.94;2701.00;0.96;A2A3_0;4.60;0.00;tripinfo_flow_0.14 emissions_flow_0.14;87.00;flow_0.14;0;632.42;0.93;0.00;36.81;car;;1;22.00;239118.205733;4938.217545;28.070593;97.734223;5.362649;0;76285.812321
2969.00;E2J1_0;100.00;11.52;2893.00;0.10;A2A3_0;4.60;0.00;tripinfo_flow_0.15 emissions_flow_0.15;76.00;flow_0.15;0;632.42;0.88;0.00;22.96;car;;1;8.00;197071.506892;3251.913162;19.525675;80.376074;3.975173;0;62872.750673
3147.00;E2J1_0;100.00;11.88;3086.00;0.24;A2A3_0;4.60;0.00;tripinfo_flow_0.16 emissions_flow_0.16;61.00;flow_0.16;0;632.42;0.94;0.00;11.45;car;;0;0.00;166119.620116;2017.608479;13.280865;67.839046;3.013473;0;52999.041768
3341.00;E2J1_0;100.00;11.94;3279.00;0.38;A2A3_0;4.60;0.00;tripinfo_flow_0.17 emissions_flow_0.17;62.00;flow_0.17;0;632.42;0.94;0.00;11.89;car;;0;0.00;166266.617906;1949.768143;12.876996;67.219445;2.929727;0;53046.265172
3529.00;E2J1_0;100.00;13.80;3472.00;0.52;A2A3_0;4.60;0.00;tripinfo_flow_0.18 emissions_flow_0.18;57.00;flow_0.18;0;632.42;1.16;0.00;10.82;car;;0;0.00;171379.651772;1965.795563;12.984114;69.171887;3.027128;0;54677.816245
3776.00;E2J1_0;100.00;13.36;3665.00;0.66;A2A3_0;4.60;0.00;tripinfo_flow_0.19 emissions_flow_0.19;111.00;flow_0.19;0;632.42;1.02;0.00;64.79;car;;1;48.00;311784.490270;8011.993966;43.494783;127.969113;7.899480;0;99466.462611
