sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,1.0,0.44
1,2,0.44,1.0,0.552
1,3,0.552,1.0,0.6416000000000001
1,4,0.6416000000000001,1.0,0.7132800000000001
1,5,0.7132800000000001,0.9999999999999987,0.7706239999999999
1,6,0.7706239999999999,0.9999999999698466,0.8164991999939692
1,7,0.8164991999939692,0.9999999291149068,0.8531993458181568
1,8,0.8531993458181568,0.9999642074933655,0.8825523181531987
1,9,0.8825523181531987,0.9950207509327721,0.9050460047091133
1,10,0.9050460047091133,0.8199796597142187,0.8880327357101345
1,11,0.8880327357101345,0.9875346924657532,0.9079331270612583
1,12,0.9079331270612583,0.7231817444157699,0.8709828505321607
1,13,0.8709828505321607,0.9993365263097915,0.8966535856876869
1,14,0.8966535856876869,0.9453317568636765,0.9063892199228849
