sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.9988549193377464,0.4397709838675493
1,2,0.4397709838675493,0.9897865907941803,0.5497741052528755
1,3,0.5497741052528755,0.9369752731021331,0.627214338822727
1,4,0.627214338822727,0.8688316195344491,0.6755377949650715
1,5,0.6755377949650715,0.7929153921187607,0.6990133143958094
1,6,0.6990133143958094,0.7523759626477603,0.7096858440461996
1,7,0.7096858440461996,0.735985325639588,0.7149457403648773
1,8,0.7149457403648773,0.7303444267604848,0.7180254776439988
1,9,0.7180254776439988,0.7268961436461706,0.7197996108444332
1,10,0.7197996108444332,0.7268156107174156,0.7212028108190297
1,11,0.7212028108190297,0.7234743833524635,0.7216571253257166
1,12,0.7216571253257166,0.7231000006495815,0.7219457003904896
1,13,0.7219457003904896,0.7233843039135979,0.7222334210951112
1,14,0.7222334210951112,0.7233852364763778,0.7224637841713646
