sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.9999575543743869,0.4399915108748774
1,2,0.4399915108748774,0.997336696868675,0.551460548073637
1,3,0.551460548073637,0.9640654983177459,0.6339815381224588
1,4,0.6339815381224588,0.7782803812719415,0.6628413067523553
1,5,0.6628413067523553,0.7210391115391226,0.6744808677097087
1,6,0.6744808677097087,0.709016168792748,0.6813879279263166
1,7,0.6813879279263166,0.7000947632437862,0.6851292949898107
1,8,0.6851292949898107,0.69521530800837,0.6871464975935225
1,9,0.6871464975935225,0.6938989221362047,0.6884969825020589
1,10,0.6884969825020589,0.6926331296065041,0.689324211922948
1,11,0.689324211922948,0.6908085884412337,0.6896210872266051
1,12,0.6896210872266051,0.6911309437783844,0.6899230585369609
1,13,0.6899230585369609,0.6901586866585968,0.6899701841612881
1,14,0.6899701841612881,0.6900618749808359,0.6899885223251976
