sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.9977440829635098,0.43954881659270195
1,2,0.43954881659270195,0.9815920501196383,0.5479574632980893
1,3,0.5479574632980893,0.91704630383109,0.6217752314046894
1,4,0.6217752314046894,0.8443714403579943,0.6662944731953504
1,5,0.6662944731953504,0.7609612950176612,0.6852278375598126
1,6,0.6852278375598126,0.7161444573351586,0.6914111615148819
1,7,0.6914111615148819,0.7015493464759792,0.6934387985071014
1,8,0.6934387985071014,0.701566968128973,0.6950644324314759
1,9,0.6950644324314759,0.7058770517321776,0.6972269562916162
1,10,0.6972269562916162,0.6945281940980266,0.6966872038528984
1,11,0.6966872038528984,0.6949521311612961,0.696340189314578
1,12,0.696340189314578,0.6974046195758566,0.6965530753668338
1,13,0.6965530753668338,0.699276261542117,0.6970977126018905
1,14,0.6970977126018905,0.7009081474509706,0.6978597995717066
