sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.9998943562094196,0.43997887124188395
1,2,0.43997887124188395,0.9961996314242243,0.551223023278352
1,3,0.551223023278352,0.9470544126523295,0.6303893011531476
1,4,0.6303893011531476,0.8212778566527388,0.6685670122530659
1,5,0.6685670122530659,0.7233331117848781,0.6795202321594285
1,6,0.6795202321594285,0.6985819292266097,0.6833325715728648
1,7,0.6833325715728648,0.6978736508826008,0.686240787434812
1,8,0.686240787434812,0.6887589951633716,0.6867444289805239
1,9,0.6867444289805239,0.6885898539231514,0.6871135139690495
1,10,0.6871135139690495,0.6881153910846245,0.6873138893921645
1,11,0.6873138893921645,0.6894226917996509,0.6877356498736619
1,12,0.6877356498736619,0.6869431977624982,0.6875771594514292
1,13,0.6875771594514292,0.6868916590286458,0.6874400593668726
1,14,0.6874400593668726,0.6910275463814904,0.6881575567697962
