sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.6619136331465505,0.3723827266293101
1,2,0.3723827266293101,0.6295847304260445,0.423823127388657
1,3,0.423823127388657,0.6060455565490721,0.46026761322074006
1,4,0.46026761322074006,0.5891286728781793,0.4860398251522279
1,5,0.4860398251522279,0.576974820149732,0.5042268241517287
1,6,0.5042268241517287,0.5697638430641213,0.5173342279342072
1,7,0.5173342279342072,0.5623050362141873,0.5263283895902032
1,8,0.5263283895902032,0.5586253649848719,0.532787784669137
1,9,0.532787784669137,0.5548722980477399,0.5372046873448576
1,10,0.5372046873448576,0.553785874470049,0.5405209247698959
1,11,0.5405209247698959,0.551687978280855,0.5427543354720877
1,12,0.5427543354720877,0.5509444159274335,0.5443923515631569
1,13,0.5443923515631569,0.5508923157334271,0.5456923443972109
1,14,0.5456923443972109,0.5503321377196833,0.5466203030617054
