policy_id,sim,day,entity,mode,n,mean_effectiveTime,mean_duration,mean_waitingTime,mean_departDelay,mean_timeLoss,mean_routeLength,sum_CO2_abs,mean_CO2_abs
baseline_bus_stops_25000,1,1,person,person,2501,810.6597361055577,810.6597361055577,647.6237504998,0.0,93.25622950819671,0.0,0.0,0.0
baseline_bus_stops_25000,1,1,vehicle,bus,239,14562.619246861925,261.77824267782427,75.60251046025104,14300.8410041841,119.03711297071129,969.3362761506276,137275647.999567,574375.096232498
baseline_bus_stops_25000,1,1,vehicle,car,20872,15724.925997508624,229.81223648907627,102.60918934457646,15495.11376101955,155.1830102529705,977.3348677654274,11353097398.126644,543939.1240957571
baseline_bus_stops_25000,1,2,person,person,6483,687.374980718803,687.374980718803,526.7871355853771,0.0,86.85982724047508,0.0,0.0,0.0
baseline_bus_stops_25000,1,2,vehicle,bus,288,8673.760416666666,274.7361111111111,83.82986111111111,8399.024305555555,128.31909722222224,969.0357638888888,173500181.444852,602431.1855724028
baseline_bus_stops_25000,1,2,vehicle,car,18477,11219.203179628728,229.60421064025545,102.7698760621313,10989.598968988472,155.0200898414245,977.3346452346159,10019167712.139288,542250.7827103582
baseline_bus_stops_25000,1,3,person,person,7945,632.4086847073631,632.4086847073631,471.8687224669604,0.0,86.03106230333543,0.0,0.0,0.0
baseline_bus_stops_25000,1,3,vehicle,bus,288,6712.03125,263.56944444444446,74.29513888888889,6448.461805555556,115.57256944444445,969.3270138888888,166149757.921442,576908.8816716736
baseline_bus_stops_25000,1,3,vehicle,car,17018,9332.742959807263,220.64396521330357,96.54601010694559,9112.09899459396,146.03867552003763,977.3353243624397,8874604630.566727,521483.40760175855
baseline_bus_stops_25000,1,4,person,person,9544,582.0740779547359,582.0740779547359,427.7003352891869,0.0,79.19430951383067,0.0,0.0,0.0
baseline_bus_stops_25000,1,4,vehicle,bus,288,4947.78125,258.55555555555554,68.86805555555556,4689.225694444444,109.49329861111111,969.2309722222222,162755072.293729,565121.7787976702
baseline_bus_stops_25000,1,4,vehicle,car,15419,7510.552672028018,217.34139697775473,94.22887346779947,7293.211275050263,142.73281860042806,977.3343511252351,7926758878.985499,514090.3352348077
baseline_bus_stops_25000,1,5,person,person,11210,515.592595896521,515.592595896521,383.50258697591437,0.0,56.643154326494205,0.0,0.0,0.0
baseline_bus_stops_25000,1,5,vehicle,bus,288,3161.121527777778,235.86458333333334,49.604166666666664,2925.2569444444443,84.99597222222222,969.6059027777778,148442061.777104,515423.8256149444
baseline_bus_stops_25000,1,5,vehicle,car,13750,5426.736460363636,195.53621818181819,79.38334545454545,5231.200242181818,120.94135563636362,977.3344981818182,6406969839.494874,465961.44287235447
baseline_bus_stops_25000,1,6,person,person,12882,476.94736842105266,476.94736842105266,352.8983853438907,0.0,48.4854331625524,0.0,0.0,0.0
baseline_bus_stops_25000,1,6,vehicle,bus,288,1933.8680555555557,228.86111111111111,41.83680555555556,1705.0069444444443,75.8646875,969.801111111111,143724229.906258,499042.4649522847
baseline_bus_stops_25000,1,6,vehicle,car,12069,3667.2196644295304,182.579418344519,70.36805037699892,3484.6402460850113,107.97884414615957,977.336114839672,5282759818.501516,437713.1343525989
baseline_bus_stops_25000,1,7,person,person,14475,445.3168221070812,445.3168221070812,334.44262521588945,0.0,35.082162348877375,0.0,0.0,0.0
