sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.9995784036553955,0.4399156807310791
1,2,0.4399156807310791,0.9904206948873052,0.5500166835623244
1,3,0.5500166835623244,0.919362088187149,0.6238857644872893
1,4,0.6238857644872893,0.7846145612951151,0.6560315238488544
1,5,0.6560315238488544,0.6892756986932418,0.6626803588177319
1,6,0.6626803588177319,0.6718213958015581,0.6645085662144972
1,7,0.6645085662144972,0.6648783059256002,0.6645825141567178
1,8,0.6645825141567178,0.6728202779144395,0.6662300669082621
1,9,0.6662300669082621,0.6661500247632937,0.6662140584792684
1,10,0.6662140584792684,0.6594041366191211,0.664852074107239
1,11,0.664852074107239,0.6653009566558015,0.6649418506169515
1,12,0.6649418506169515,0.6811545326814098,0.6681843870298433
1,13,0.6681843870298433,0.6565446520947789,0.6658564400428304
1,14,0.6658564400428304,0.6674434732341281,0.66617384668109
