sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.6603227982203005,0.3720645596440601
1,2,0.3720645596440601,0.6301003109220705,0.4236717098996622
1,3,0.4236717098996622,0.606626519308652,0.4602626717814602
1,4,0.4602626717814602,0.5910968454718267,0.48642950651953354
1,5,0.48642950651953354,0.5783345132888834,0.5048105078734035
1,6,0.5048105078734035,0.5732559873968763,0.5184996037780981
1,7,0.5184996037780981,0.5656827073869455,0.5279362244998675
1,8,0.5279362244998675,0.5605463289365646,0.534458245387207
1,9,0.534458245387207,0.5580531094036632,0.5391772181904982
1,10,0.5391772181904982,0.5556300915579987,0.5424677928639984
1,11,0.5424677928639984,0.5548655994973172,0.5449473541906622
1,12,0.5449473541906622,0.5537552395403759,0.5467089312606049
1,13,0.5467089312606049,0.5540873841412756,0.5481846218367391
1,14,0.5481846218367391,0.5526293845161191,0.5490735743726152
