policy_id,sim,day,entity,mode,n,mean_effectiveTime,mean_duration,mean_waitingTime,mean_departDelay,mean_timeLoss,mean_routeLength,sum_CO2_abs,mean_CO2_abs
grid_25000,1,1,person,person,2493,628.723626153229,628.723626153229,572.3682310469314,0.0,28.418235058162857,0.0,0.0,0.0
grid_25000,1,1,vehicle,bus,432,2474.8171296296296,157.86342592592592,4.8217592592592595,2316.953703703704,28.863055555555555,779.5066666666667,150050422.53776,347338.9410596296
grid_25000,1,1,vehicle,car,22053,4543.552188817848,105.2209676687979,28.49494399854895,4438.33122114905,59.750842969210545,578.0180129687571,5888046186.021963,266995.2471782507
grid_25000,1,2,person,person,6484,519.2236273904997,519.2236273904997,469.5677051202961,0.0,18.904090067859347,0.0,0.0,0.0
grid_25000,1,2,vehicle,bus,432,1425.6574074074074,157.75694444444446,4.19212962962963,1267.900462962963,28.20210648148148,779.5066666666667,150096585.54915,347445.79988229164
grid_25000,1,2,vehicle,car,18478,2934.231275029765,102.79721831367031,26.99134105422665,2831.434056716095,57.4040458924126,577.564643359671,4860504029.375664,263042.7551345202
grid_25000,1,3,person,person,7947,481.2668931672329,481.2668931672329,434.56348307537434,0.0,15.239243739776017,0.0,0.0,0.0
grid_25000,1,3,vehicle,bus,432,1105.6180555555557,156.90740740740742,3.3819444444444446,948.7106481481482,27.281782407407405,779.5066666666667,149169654.261065,345300.1256043171
grid_25000,1,3,vehicle,car,17019,2384.126183089488,101.22586520947176,25.6029731476585,2282.9003178800162,55.78892649391856,577.9419190316704,4422018641.533916,259828.3472315598
grid_25000,1,4,person,person,9553,446.6717261593217,446.6717261593217,397.9272479849262,0.0,16.64148958442374,0.0,0.0,0.0
grid_25000,1,4,vehicle,bus,432,808.1967592592592,157.375,3.8055555555555554,650.8217592592592,27.680046296296297,779.5066666666667,149772518.042352,346695.64361655555
grid_25000,1,4,vehicle,car,15419,1775.419654322589,98.15772747908424,23.814579415007458,1677.2619268435046,52.72541604513911,577.5878202218042,3922340868.21108,254383.60906745444
grid_25000,1,5,person,person,11214,439.5992509363296,439.5992509363296,387.45255930087393,0.0,19.30275013376137,0.0,0.0,0.0
grid_25000,1,5,vehicle,bus,432,629.0787037037037,158.05555555555554,4.608796296296297,471.02314814814815,28.330462962962965,779.5066666666667,150365609.622441,348068.5407926875
grid_25000,1,5,vehicle,car,13752,1302.71876672484,98.01985165794066,23.355511925538103,1204.6989150668994,52.588354421175104,577.7095287958116,3488052647.465636,253639.66313740806
grid_25000,1,6,person,person,12881,373.0374194550113,373.0374194550113,329.46510364102164,0.0,10.591329865693659,0.0,0.0,0.0
grid_25000,1,6,vehicle,bus,432,428.85648148148147,156.63657407407408,3.0,272.2199074074074,26.667384259259258,779.5066666666667,148897455.680223,344670.03629681247
grid_25000,1,6,vehicle,car,12070,812.4357025683513,81.07108533554266,13.707125103562552,731.3646172328085,35.591468931234466,578.3247887323944,2679439308.580849,221991.6577117522
grid_25000,1,7,person,person,14478,351.97789749965466,351.97789749965466,309.1020859234701,0.0,9.494077911313719,0.0,0.0,0.0
grid_25000,1,7,vehicle,bus,432,292.8240740740741,157.46296296296296,2.9375,135.36111111111111,26.407175925925927,779.5066666666667,149769318.629608,346688.23756853706
grid_25000,1,7,vehicle,car,10480,464.6975448473282,76.31164122137405,11.498187022900764,388.3859036259542,30.942483778625952,577.2356946564886,2234845812.727779,213248.64625265065
grid_25000,1,8,person,person,15945,345.61160238319223,345.61160238319223,302.8439636249608,0.0,8.745818751959861,0.0,0.0,0.0
grid_25000,1,8,vehicle,bus,432,208.27777777777777,158.47222222222223,2.599537037037037,49.80555555555556,26.358124999999998,779.5066666666667,150719802.559287,348888.4318502014
