sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,1.0,0.44
1,2,0.44,1.0,0.552
1,3,0.552,1.0,0.6416000000000001
1,4,0.6416000000000001,1.0,0.7132800000000001
1,5,0.7132800000000001,0.9999999999999998,0.7706240000000001
1,6,0.7706240000000001,0.9999999999939351,0.8164991999987872
1,7,0.8164991999987872,0.9999999807959975,0.8531993561582293
1,8,0.8531993561582293,0.9999872954378879,0.8825569440141611
1,9,0.8825569440141611,0.9975897098101504,0.905563497173359
1,10,0.905563497173359,0.8662134544270194,0.8976934886240912
1,11,0.8976934886240912,0.9666173854096677,0.9114782679812065
1,12,0.9114782679812065,0.712801524134665,0.8717429192118983
1,13,0.8717429192118983,0.9997059089481637,0.8973355171591514
1,14,0.8973355171591514,0.9664407494612898,0.9111565636195791
