sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.6671091292672597,0.37342182585345196
1,2,0.37342182585345196,0.6334843334563515,0.42543432737403186
1,3,0.42543432737403186,0.609850606878955,0.4623175832750165
1,4,0.4623175832750165,0.5957167707279254,0.48899742076559827
1,5,0.48899742076559827,0.5812227454268949,0.5074424856978577
1,6,0.5074424856978577,0.5749129077405778,0.5209365701064017
1,7,0.5209365701064017,0.5668598422495782,0.5301212245350371
1,8,0.5301212245350371,0.5635282892253054,0.5368026374730908
1,9,0.5368026374730908,0.5607374892690818,0.541589607832289
1,10,0.541589607832289,0.5587630123808253,0.5450242887419963
1,11,0.5450242887419963,0.5572687518641865,0.5474731813664343
1,12,0.5474731813664343,0.5560536471175276,0.549189274516653
1,13,0.549189274516653,0.5553092541959089,0.5504132704525042
1,14,0.5504132704525042,0.5547209919819147,0.5512748147583864
