sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,1.0,0.44
1,2,0.44,1.0,0.552
1,3,0.552,1.0,0.6416000000000001
1,4,0.6416000000000001,1.0,0.7132800000000001
1,5,0.7132800000000001,0.9999999999999993,0.770624
1,6,0.770624,0.9999999999846505,0.8164991999969301
1,7,0.8164991999969301,0.9999999550496113,0.8531993510074664
1,8,0.8531993510074664,0.9999758840629732,0.8825546576185679
1,9,0.8825546576185679,0.9961757173664205,0.9052788695681384
1,10,0.9052788695681384,0.831208585646366,0.890464812783784
1,11,0.890464812783784,0.9853438665841573,0.9094406235438587
1,12,0.9094406235438587,0.7145336853908145,0.8704592359132499
1,13,0.8704592359132499,0.9995600507747212,0.8962793988855442
1,14,0.8962793988855442,0.9589286768242179,0.908809254473279
