sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.9999035616006094,0.4399807123201219
1,2,0.4399807123201219,0.9963231483693031,0.5512491995299582
1,3,0.5512491995299582,0.9514428264790653,0.6312879249197796
1,4,0.6312879249197796,0.8464534898955367,0.674321037914931
1,5,0.674321037914931,0.7394485380724042,0.6873465379464256
1,6,0.6873465379464256,0.70646378422263,0.6911699872016666
1,7,0.6911699872016666,0.6982309557946712,0.6925821809202676
1,8,0.6925821809202676,0.7002582735474133,0.6941173994456967
1,9,0.6941173994456967,0.6972530393127411,0.6947445274191056
1,10,0.6947445274191056,0.6957337354726609,0.6949423690298168
1,11,0.6949423690298168,0.6962941865078615,0.6952127325254257
1,12,0.6952127325254257,0.6935544329566385,0.6948810726116683
1,13,0.6948810726116683,0.6949369997816814,0.6948922580456709
1,14,0.6948922580456709,0.6949369997816814,0.694901206392873
