sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.6578159822923654,0.3715631964584731
1,2,0.3715631964584731,0.6242565270487449,0.42210186257652743
1,3,0.42210186257652743,0.6004382857396774,0.4577691472091574
1,4,0.4577691472091574,0.582147283757989,0.48264477451892374
1,5,0.48264477451892374,0.5705009310064717,0.5002160058164333
1,6,0.5002160058164333,0.5636154687853436,0.5128958984102154
1,7,0.5128958984102154,0.556428877304745,0.5216024941891214
1,8,0.5216024941891214,0.5518609737740994,0.527654190106117
1,9,0.527654190106117,0.5497955440147917,0.532082460887852
1,10,0.532082460887852,0.5465380814039202,0.5349735849910657
1,11,0.5349735849910657,0.5458700356383119,0.537152875120515
1,12,0.537152875120515,0.5455001722478864,0.5388223345459893
1,13,0.5388223345459893,0.5439369494866464,0.5398452575341207
1,14,0.5398452575341207,0.5438791786651604,0.5406520417603287
