tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
882.00;E2D2_0;85.60;13.19;822.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.137 emissions_flow_0.137;60.00;flow_0.137;0;675.81;1.02;0.00;9.36;car;;0;0.00;168017.30;1858.19;12.59;68.35;2.98;0.00;53604.95
889.00;E2D2_0;85.60;12.89;828.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.138 emissions_flow_0.138;61.00;flow_0.138;0;675.81;1.00;0.00;9.99;car;;0;0.00;174447.70;1940.18;12.95;69.71;2.98;0.00;55656.95
897.00;E2D2_0;85.60;12.77;834.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.139 emissions_flow_0.139;63.00;flow_0.139;0;675.81;0.95;0.00;10.53;car;;0;0.00;169715.23;1922.05;12.79;68.03;2.92;0.00;54146.87
900.00;E2D2_0;85.60;12.70;840.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.140 emissions_flow_0.140;60.00;flow_0.140;0;675.81;1.11;0.00;10.09;car;;0;0.00;169528.25;1875.48;12.59;67.98;2.91;0.00;54087.32
905.00;E2D2_0;85.60;13.47;846.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.141 emissions_flow_0.141;59.00;flow_0.141;0;675.81;1.16;0.00;9.12;car;;0;0.00;164754.37;1723.48;11.81;65.77;2.76;0.00;52564.49
916.00;E2D2_0;85.60;11.83;852.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.142 emissions_flow_0.142;64.00;flow_0.142;0;675.81;0.94;0.00;10.85;car;;0;0.00;165877.82;1871.48;12.41;65.47;2.74;0.00;52922.85
918.00;E2D2_0;85.60;13.13;858.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.143 emissions_flow_0.143;60.00;flow_0.143;0;675.81;1.13;0.00;10.31;car;;0;0.00;169780.07;1925.43;12.93;69.00;3.03;0.00;54167.31
944.00;E2D2_0;85.60;9.31;864.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.144 emissions_flow_0.144;80.00;flow_0.144;0;675.81;0.73;0.00;11.94;car;;0;0.00;165724.41;2272.15;14.23;64.15;2.69;0.00;52873.31
946.00;E2D2_0;85.60;12.89;870.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.145 emissions_flow_0.145;76.00;flow_0.145;0;675.81;1.14;0.00;26.13;car;;0;0.00;192578.42;2582.91;16.45;78.91;3.60;0.00;61439.96
948.00;E2D2_0;85.60;11.92;876.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.146 emissions_flow_0.146;72.00;flow_0.146;0;675.81;0.89;0.00;15.33;car;;0;0.00;168174.65;2048.27;13.31;66.38;2.81;0.00;53655.28
