sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.5469951578121116,0.3493990315624223
1,2,0.3493990315624223,0.523695486894196,0.384258322628777
1,3,0.384258322628777,0.5050420796430435,0.40841507403163035
1,4,0.40841507403163035,0.4937582155599527,0.4254837023372948
1,5,0.4254837023372948,0.48395082387214466,0.4371771266442648
1,6,0.4371771266442648,0.47934753126505425,0.44561120756842265
1,7,0.44561120756842265,0.47452358704529046,0.4513936834637962
1,8,0.4513936834637962,0.47270467409591443,0.4556558815902199
1,9,0.4556558815902199,0.4717227272122222,0.45886925071462037
1,10,0.45886925071462037,0.4682039879206224,0.4607361981558208
1,11,0.4607361981558208,0.46853094884343194,0.46229514829334306
1,12,0.46229514829334306,0.4711939139964479,0.46407490143396407
1,13,0.46407490143396407,0.46698782496918406,0.4646574861410081
1,14,0.4646574861410081,0.465399372158882,0.4648058633445829
