sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,1.0,0.44
1,2,0.44,1.0,0.552
1,3,0.552,1.0,0.6416000000000001
1,4,0.6416000000000001,1.0,0.7132800000000001
1,5,0.7132800000000001,1.0,0.7706240000000002
1,6,0.7706240000000002,0.9999999999999869,0.8164991999999976
1,7,0.8164991999999976,0.9999999999585514,0.8531993599917084
1,8,0.8531993599917084,0.9999999732914426,0.8825594826516553
1,9,0.8825594826516553,0.9999953018825941,0.9060466464978431
1,10,0.9060466464978431,0.9996471714856613,0.9247667514954068
1,11,0.9247667514954068,0.9913280162634434,0.9380790044490142
1,12,0.9380790044490142,0.9180083958996058,0.9340648827391326
1,13,0.9340648827391326,0.9578705623395407,0.9388260186592142
1,14,0.9388260186592142,0.897274922733571,0.9305157994740856
