sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.9999534748821362,0.43999069497642723
1,2,0.43999069497642723,0.9970814723989927,0.5514088504609403
1,3,0.5514088504609403,0.958632827929241,0.6328536459546006
1,4,0.6328536459546006,0.7638249972150455,0.6590479162066897
1,5,0.6590479162066897,0.7108892445403575,0.6694161818734232
1,6,0.6694161818734232,0.6959299971955923,0.6747189449378571
1,7,0.6747189449378571,0.6867394524143974,0.6771230464331652
1,8,0.6771230464331652,0.6844015370885209,0.6785787445642364
1,9,0.6785787445642364,0.684169400014134,0.679696875654216
1,10,0.679696875654216,0.6823160792673334,0.6802207163768395
1,11,0.6802207163768395,0.6813520161022901,0.6804469763219296
1,12,0.6804469763219296,0.680365718385344,0.6804307247346125
1,13,0.6804307247346125,0.680365718385344,0.6804177234647588
1,14,0.6804177234647588,0.6812022892014075,0.6805746366120886
