tripinfo_id,tripinfo_vType,day,sim,CO2_abs,departDelay,waitingTime,waitingCount,timeLoss
flow_0.95,car,1,1,285239.671016,0.0,42.0,1,59.89
flow_0.96,car,1,1,300803.25291,0.4,43.0,1,59.98
flow_0.97,car,1,1,282703.522887,0.8,40.0,1,56.41
flow_0.98,car,1,1,285460.162844,0.2,39.0,1,53.95
flow_0.99,car,1,1,273346.554009,0.6,33.0,1,49.69
flow_0.100,car,1,1,265611.044891,0.0,33.0,1,47.6
flow_0.101,car,1,1,259557.278159,0.4,29.0,1,44.93
flow_0.102,car,1,1,243711.864892,0.8,25.0,1,40.59
flow_0.103,car,1,1,256494.175501,0.2,25.0,1,41.1
flow_0.104,car,1,1,247832.524487,0.6,22.0,1,37.38
flow_0.105,car,1,1,237599.387291,0.0,21.0,1,35.64
flow_0.106,car,1,1,232780.235287,0.4,17.0,1,34.34
flow_0.107,car,1,1,228195.437308,0.8,13.0,1,29.24
flow_0.108,car,1,1,214330.415191,0.2,9.0,1,25.95
flow_0.109,car,1,1,200835.3589,0.6,8.0,1,22.28
flow_0.110,car,1,1,220776.373815,0.0,8.0,1,22.75
flow_0.111,car,1,1,204030.705971,0.4,3.0,1,20.93
flow_0.112,car,1,1,206118.923789,0.8,1.0,1,17.05
flow_0.113,car,1,1,174396.734761,0.2,0.0,0,11.18
flow_0.114,car,1,1,176127.957202,0.6,0.0,0,10.72
flow_0.115,car,1,1,178740.797156,0.0,0.0,0,11.74
flow_0.116,car,1,1,179378.710054,0.4,0.0,0,11.55
flow_0.117,car,1,1,170928.806061,0.8,0.0,0,10.85
flow_0.118,car,1,1,162058.367637,0.2,0.0,0,10.32
flow_0.119,car,1,1,173440.223311,0.6,0.0,0,9.71
flow_0.120,car,1,1,168683.148671,0.0,0.0,0,11.2
flow_0.121,car,1,1,175101.789493,0.4,0.0,0,10.69
flow_0.122,car,1,1,165758.178611,0.8,0.0,0,10.55
flow_0.123,car,1,1,161147.130186,0.2,0.0,0,10.0
flow_0.124,car,1,1,171473.083777,0.6,0.0,0,10.11
flow_0.125,car,1,1,296801.316468,0.0,54.0,1,68.27
flow_0.126,car,1,1,320994.360717,0.4,55.0,1,71.25
flow_0.127,car,1,1,311493.588666,0.8,50.0,1,67.97
flow_0.128,car,1,1,305849.145095,0.2,49.0,1,65.83
flow_0.129,car,1,1,308268.419685,0.6,49.0,1,62.99
flow_0.130,car,1,1,295375.517463,0.0,46.0,1,61.11
flow_0.131,car,1,1,290009.149506,0.4,41.0,1,58.59
flow_0.132,car,1,1,283642.450636,0.8,38.0,1,55.93
flow_0.133,car,1,1,279967.570225,0.2,35.0,1,53.03
flow_0.134,car,1,1,273635.320931,0.6,36.0,1,50.16
flow_0.135,car,1,1,274310.89222,0.0,33.0,1,47.8
flow_0.136,car,1,1,263249.340775,0.4,30.0,1,45.76
flow_0.137,car,1,1,242093.634056,0.8,27.0,1,41.38
flow_0.138,car,1,1,255019.800844,0.2,26.0,1,40.67
flow_0.139,car,1,1,250561.512899,0.6,22.0,1,38.05
flow_0.140,car,1,1,231831.022392,0.0,17.0,1,32.29
flow_0.141,car,1,1,233172.225626,0.4,17.0,1,32.82
flow_0.142,car,1,1,190256.649645,0.8,6.0,1,20.56
flow_0.143,car,1,1,218550.730895,0.2,12.0,1,27.44
flow_0.144,car,1,1,192180.021224,0.6,2.0,1,21.38
flow_0.145,car,1,1,212680.070484,0.0,6.0,1,21.97
flow_0.146,car,1,1,203997.559916,0.4,1.0,1,18.28
flow_0.147,car,1,1,196136.949516,0.8,2.0,1,16.86
flow_0.148,car,1,1,179457.360431,0.2,0.0,0,11.09
flow_0.149,car,1,1,169308.090564,0.6,0.0,0,12.42
flow_0.150,car,1,1,168802.934041,0.0,0.0,0,10.85
flow_0.151,car,1,1,167751.926232,0.4,0.0,0,11.88
flow_0.152,car,1,1,163303.925239,0.8,0.0,0,9.99
flow_0.153,car,1,1,171227.995171,0.2,0.0,0,10.68
flow_0.154,car,1,1,162922.819908,0.6,0.0,0,9.68
flow_0.155,car,1,1,174516.580245,0.0,0.0,0,11.84
flow_0.156,car,1,1,158739.196036,0.4,0.0,0,10.41
flow_0.157,car,1,1,162953.490533,0.8,0.0,0,12.38
flow_0.158,car,1,1,172473.169352,0.2,0.0,0,10.97
flow_0.159,car,1,1,329566.462541,0.6,58.0,1,75.5
flow_0.160,car,1,1,327089.099966,0.0,58.0,1,73.37
flow_0.161,car,1,1,319288.99635,0.4,55.0,1,70.23
flow_0.162,car,1,1,295755.37879,0.8,48.0,1,64.29
flow_0.163,car,1,1,308320.477381,0.2,49.0,1,65.51
flow_0.164,car,1,1,302514.747092,0.6,48.0,1,62.85
flow_0.165,car,1,1,295219.588552,0.0,44.0,1,59.79
flow_0.166,car,1,1,282053.268425,0.4,41.0,1,55.35
flow_0.167,car,1,1,280733.320873,0.8,38.0,1,54.86
flow_0.168,car,1,1,264883.098723,0.2,34.0,1,50.2
flow_0.169,car,1,1,256697.939394,0.6,29.0,1,46.28
flow_0.170,car,1,1,266868.031359,0.0,33.0,1,47.7
flow_0.171,car,1,1,254948.231472,0.4,28.0,1,43.22
flow_0.172,car,1,1,242757.730006,0.8,22.0,1,38.8
flow_0.173,car,1,1,248151.94024,0.2,22.0,1,39.13
flow_0.174,car,1,1,251668.282893,0.6,19.0,1,36.36
flow_0.175,car,1,1,241475.34496,0.0,17.0,1,34.58
flow_0.176,car,1,1,232074.236871,0.4,15.0,1,31.12
flow_0.177,car,1,1,221004.854822,0.8,10.0,1,28.01
flow_0.178,car,1,1,216086.712479,0.2,10.0,1,26.69
flow_0.179,car,1,1,214019.707041,0.6,6.0,1,23.69
flow_0.180,car,1,1,202319.107538,0.0,5.0,1,20.84
flow_0.181,car,1,1,193105.766252,0.4,1.0,1,16.03
flow_0.182,car,1,1,163723.990736,0.8,0.0,0,11.51
