policy_id,sim,day,entity,mode,n,mean_effectiveTime,mean_duration,mean_waitingTime,mean_departDelay,mean_timeLoss,mean_routeLength,sum_CO2_abs,mean_CO2_abs
baseline_less_buses_1000,1,1,person,person,100,550.16,550.16,463.72,0.0,18.596600000000002,0.0,0.0,0.0
baseline_less_buses_1000,1,1,vehicle,bus,144,188.83333333333334,177.88194444444446,9.243055555555555,10.95138888888889,35.047152777777775,971.5899999999999,55422646.251849,384879.4878600625
baseline_less_buses_1000,1,1,vehicle,car,901,109.34733629300777,107.8945615982242,16.22641509433962,1.4527746947835738,33.25997780244173,977.0900000000001,251072586.582654,278659.9185157092
baseline_less_buses_1000,1,2,person,person,262,649.2595419847328,649.2595419847328,562.5419847328244,0.0,18.83469465648855,0.0,0.0,0.0
baseline_less_buses_1000,1,2,vehicle,bus,144,188.85416666666666,177.95833333333334,9.333333333333334,10.895833333333334,35.13055555555556,971.5899999999999,55396885.545342,384700.594064875
baseline_less_buses_1000,1,2,vehicle,car,742,105.97935309973045,104.8921832884097,13.95687331536388,1.0871698113207546,30.199164420485175,977.09,201327943.687474,271331.460495248
baseline_less_buses_1000,1,3,person,person,320,588.240625,588.240625,500.53125,0.0,19.86578125,0.0,0.0,0.0
baseline_less_buses_1000,1,3,vehicle,bus,144,189.54166666666666,178.59722222222223,9.916666666666666,10.944444444444445,35.78930555555556,971.5899999999999,55554764.072905,385796.9727285069
baseline_less_buses_1000,1,3,vehicle,car,681,106.7497503671072,105.7151248164464,14.945668135095447,1.034625550660793,31.0536563876652,977.09,186151330.602636,273349.97151635244
baseline_less_buses_1000,1,4,person,person,386,665.160621761658,665.160621761658,578.3730569948186,0.0,18.969689119170987,0.0,0.0,0.0
baseline_less_buses_1000,1,4,vehicle,bus,144,189.09722222222223,178.20833333333334,9.729166666666666,10.88888888888889,35.38854166666667,971.5899999999999,55522438.276672,385572.48803244444
baseline_less_buses_1000,1,4,vehicle,car,618,105.4654207119741,104.54368932038835,13.610032362459547,0.9217313915857606,29.60754045307443,977.09,166624329.958475,269618.65689073625
baseline_less_buses_1000,1,5,person,person,456,657.2083333333334,657.2083333333334,570.8092105263158,0.0,18.49190789473684,0.0,0.0,0.0
baseline_less_buses_1000,1,5,vehicle,bus,144,188.61805555555554,177.71527777777777,9.04861111111111,10.902777777777779,34.850833333333334,971.5899999999999,55322606.787165,384184.7693553125
baseline_less_buses_1000,1,5,vehicle,car,551,106.4013611615245,105.44283121597095,14.337568058076226,0.958529945553539,30.55290381125227,977.0899999999999,149768050.389058,271811.34371879854
baseline_less_buses_1000,1,6,person,person,513,669.8245614035088,669.8245614035088,583.8109161793373,0.0,18.18970760233918,0.0,0.0,0.0
baseline_less_buses_1000,1,6,vehicle,bus,144,188.17361111111111,177.35416666666666,8.694444444444445,10.819444444444445,34.484722222222224,971.5899999999999,55227790.312802,383526.3216166806
baseline_less_buses_1000,1,6,vehicle,car,484,112.58144628099173,110.34297520661157,17.74380165289256,2.2384710743801652,35.49409090909091,977.09,136686306.326981,282409.72381607647
baseline_less_buses_1000,1,7,person,person,577,674.3795493934142,674.3795493934142,587.7850953206239,0.0,18.75512998266898,0.0,0.0,0.0
baseline_less_buses_1000,1,7,vehicle,bus,144,189.15277777777777,178.29861111111111,9.715277777777779,10.854166666666666,35.434305555555554,971.5899999999999,55503382.357964,385440.1552636389
baseline_less_buses_1000,1,7,vehicle,car,420,110.28011904761905,107.79285714285714,15.34047619047619,2.487261904761905,32.94109523809524,977.0899999999999,116088734.69142,276401.74926528573
baseline_less_buses_1000,1,8,person,person,636,640.2562893081761,640.2562893081761,554.1383647798742,0.0,18.27070754716981,0.0,0.0,0.0
baseline_less_buses_1000,1,8,vehicle,bus,144,188.09722222222223,177.29166666666666,8.979166666666666,10.805555555555555,34.47493055555556,971.5899999999999,55270981.235473,383826.2585796736
baseline_less_buses_1000,1,8,vehicle,car,361,116.5446537396122,113.40443213296399,19.79224376731302,3.140221606648199,38.65529085872576,977.0899999999999,104472687.956386,289398.02758001664
baseline_less_buses_1000,1,9,person,person,692,670.5317919075145,670.5317919075145,584.606936416185,0.0,18.059132947976877,0.0,0.0,0.0
baseline_less_buses_1000,1,9,vehicle,bus,144,188.02083333333334,177.19444444444446,8.79861111111111,10.82638888888889,34.30548611111111,971.5899999999999,55227178.961581,383522.0761220903
baseline_less_buses_1000,1,9,vehicle,car,310,105.86006451612904,104.62903225806451,13.7,1.231032258064516,29.874096774193546,977.09,83788739.33962,270286.25593425805
baseline_less_buses_1000,1,10,person,person,735,663.374149659864,663.374149659864,577.0272108843537,0.0,18.527129251700682,0.0,0.0,0.0
baseline_less_buses_1000,1,10,vehicle,bus,144,189.11805555555554,178.24305555555554,9.61111111111111,10.875,35.413611111111116,971.5899999999999,55514039.977276,385514.1665088611
baseline_less_buses_1000,1,10,vehicle,car,263,104.99083650190114,103.7680608365019,13.167300380228136,1.2227756653992397,29.123916349809885,977.09,70458325.90503,267902.3798670342
baseline_less_buses_1000,1,11,person,person,774,677.9470284237726,677.9470284237726,591.7183462532299,0.0,18.31736434108527,0.0,0.0,0.0
