sim,day,acceptance_used,acceptance_next
1,1,0.1,0.2601454476374965
1,2,0.2601454476374965,0.3189093243967841
1,3,0.3189093243967841,0.3830017348695069
1,4,0.3830017348695069,0.45
1,5,0.45,0.5169982651304932
1,6,0.5169982651304932,0.5810906756032159
1,7,0.5810906756032159,0.6398545523625035
1,8,0.6398545523625035,0.6916723051491158
1,9,0.6916723051491158,0.7358170285742792
1,10,0.7358170285742792,0.7723340415895611
1,11,0.7723340415895611,0.8018128609239484
1,12,0.8018128609239484,0.82514457315547
1,13,0.82514457315547,0.8433239795487032
1,14,0.8433239795487032,0.85731671414019
