sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.9985855679594866,0.43971711359189736
1,2,0.43971711359189736,0.987725087750304,0.5493187084235787
1,3,0.5493187084235787,0.9326781147592705,0.6259905896907171
1,4,0.6259905896907171,0.8614338542061569,0.673079242593805
1,5,0.673079242593805,0.7772724760205155,0.6939178892791472
1,6,0.6939178892791472,0.7452735119258694,0.7041890138084917
1,7,0.7041890138084917,0.7361392751683895,0.7105790660804714
1,8,0.7105790660804714,0.7283938528761296,0.7141420234396031
1,9,0.7141420234396031,0.723030898906327,0.715919798532948
1,10,0.715919798532948,0.7238623431329174,0.7175083074529418
1,11,0.7175083074529418,0.7198221033983175,0.717971066642017
1,12,0.717971066642017,0.7205286334225616,0.718482579998126
1,13,0.718482579998126,0.7185709307085286,0.7185002501402066
1,14,0.7185002501402066,0.7187036884900939,0.718540937810184
