sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.6780767398646668,0.3756153479729334
1,2,0.3756153479729334,0.6446767650840883,0.4294276313951644
1,3,0.4294276313951644,0.6177967610125529,0.4671014573186421
1,4,0.4671014573186421,0.6000029428742291,0.49368175442975953
1,5,0.49368175442975953,0.587898497874771,0.5125251031187619
1,6,0.5125251031187619,0.5787215572325721,0.525764393941524
1,7,0.525764393941524,0.5724197114408679,0.5350954574413928
1,8,0.5350954574413928,0.5686831866793481,0.5418130032889839
1,9,0.5418130032889839,0.5656491353057745,0.546580229692342
1,10,0.546580229692342,0.5646482945286678,0.5501938426596071
1,11,0.5501938426596071,0.5619868575162779,0.5525524456309413
1,12,0.5525524456309413,0.5604534238414844,0.55413264127305
1,13,0.55413264127305,0.5598867359177315,0.5552834602019863
1,14,0.5552834602019863,0.5595446893110035,0.5561357060237897
