sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,0.7163199533201163,0.3832639906640233
1,2,0.3832639906640233,0.6808655394262946,0.44278430041647754
1,3,0.44278430041647754,0.6531247607609146,0.48485239248536494
1,4,0.48485239248536494,0.6365098880829118,0.5151838916048743
1,5,0.5151838916048743,0.6217573974767953,0.5364985927792585
1,6,0.5364985927792585,0.6124975351110146,0.5516983812456098
1,7,0.5516983812456098,0.6059976521245279,0.5625582354213934
1,8,0.5625582354213934,0.6004898664662874,0.5701445616303722
1,9,0.5701445616303722,0.5983017086788459,0.5757759910400669
1,10,0.5757759910400669,0.5943616157142608,0.5794931159749057
1,11,0.5794931159749057,0.5932204804678237,0.5822385888734893
1,12,0.5822385888734893,0.5919803778343683,0.5841869466656652
1,13,0.5841869466656652,0.5912784498067352,0.5856052472938792
1,14,0.5856052472938792,0.5903436991772923,0.5865529376705618
